x,y,emotion
21.198977,-10.579083,neutral
26.795446,-12.487813,neutral
20.922941,-10.683135,neutral
26.849695,-4.7492414,calm
38.509415,-10.260725,calm
28.08444,-17.150282,neutral
40.51652,2.8201377,calm
6.616812,-39.09049,happy
4.523836,-46.498486,happy
35.753178,2.4268472,calm
41.5216,3.3061254,calm
1.2830834,-49.252605,happy
-3.1964614,-47.821877,happy
7.6087246,-11.250088,sad
29.044804,-8.9164505,calm
-7.420299,-49.575935,happy
-15.383841,-17.46853,happy
0.3803216,-38.437485,happy
42.39185,2.155277,calm
43.167946,-2.2937536,calm
-7.6214414,-44.092796,happy
-11.355926,48.96668,angry
-15.947398,-8.6205015,fearful
-5.8972783,-17.089182,sad
-0.9564624,-7.634588,sad
-12.271998,37.524155,angry
10.02513,-8.491145,sad
-1.8447194,39.55028,angry
0.1684899,39.186863,angry
-5.4116545,44.6163,angry
37.78259,-3.9153595,sad
-1.840559,36.203876,angry
0.29364783,-14.091035,sad
5.9756804,-8.670034,sad
-11.26572,35.063595,angry
-1.8116113,-19.542658,sad
-6.9072256,45.51022,angry
-21.589602,-20.914724,fearful
-28.396248,-18.059261,fearful
13.161338,34.187595,disgust
-28.078382,-17.46911,fearful
11.933562,35.14274,disgust
-18.621027,-6.2197833,fearful
13.869064,34.224705,disgust
11.376548,25.652798,disgust
11.415691,25.010347,disgust
4.225019,36.28167,disgust
-24.638248,-12.080928,fearful
4.632039,35.909714,disgust
-23.00522,-17.956224,fearful
-20.302507,-15.475862,fearful
-32.150227,5.9046154,surprised
-32.241405,6.0437527,surprised
-33.757797,9.179352,surprised
-32.516247,8.156507,surprised
-20.318832,2.321646,surprised
-30.69559,18.840538,surprised
-31.774984,6.422532,surprised
8.826355,36.59881,disgust
-26.55885,4.5336013,surprised
31.941437,-12.481105,calm
29.075645,-3.4461718,calm
25.061983,-9.628165,neutral
28.680046,-3.5781763,calm
24.33907,-10.78836,neutral
25.2138,-7.973366,calm
38.139256,-8.510125,calm
22.89999,-10.2924385,neutral
37.11739,-9.690303,neutral
28.652473,-5.2328677,calm
30.134611,-0.85896575,calm
-4.1591463,-42.49324,happy
-9.8684845,-47.71405,happy
-20.342648,-16.480318,sad
11.506965,-5.2443795,sad
24.963469,-4.15784,calm
12.657561,3.0166621,sad
13.748215,2.5391219,sad
1.277866,-32.606464,happy
0.059761096,-42.233433,happy
1.3127869,-32.86727,happy
11.579354,-5.872506,sad
-4.984366,-42.35715,happy
-1.7775072,-48.021675,happy
1.3821748,-34.60731,happy
-17.341364,50.55941,angry
-20.643555,-16.212652,fearful
-11.313837,35.624283,angry
-2.6867435,-13.051332,sad
-18.74186,-13.090284,fearful
0.8944892,19.38772,angry
-3.392778,-13.680355,sad
-19.194462,51.518032,angry
-3.8116138,24.966116,angry
-18.515585,45.715508,angry
-20.378191,-15.054288,fearful
12.191181,6.663707,angry
-3.2072637,-12.38472,sad
-17.328781,50.13931,angry
-30.572327,-15.862243,fearful
-30.884111,-16.773031,fearful
-27.051489,7.425809,surprised
5.2229156,13.854778,disgust
10.569261,29.59791,disgust
-30.045332,-16.980494,fearful
10.1820345,29.882383,disgust
7.399493,16.46072,disgust
-31.24862,-19.194172,fearful
-4.28751,33.199905,disgust
2.4708688,20.235811,disgust
6.0049605,15.830095,disgust
-31.51868,-18.092648,fearful
4.421516,20.959026,disgust
-19.080305,-0.58481425,surprised
-25.232883,-6.4784017,surprised
-21.090824,-0.43170297,surprised
-24.539986,1.9167092,surprised
-27.256218,0.69216627,surprised
-26.60971,0.7801161,surprised
-28.126291,19.19286,surprised
40.71558,3.8335679,calm
41.72722,-7.2496424,calm
28.877584,-13.752896,neutral
40.172916,-8.809123,neutral
37.059086,-7.74954,neutral
44.013664,0.33950227,calm
39.354992,4.68257,calm
32.419357,0.7654922,calm
29.441267,-1.618251,calm
40.35256,-8.218179,calm
26.817947,-3.8341184,neutral
40.892296,-7.6711116,calm
4.1518,-10.691825,sad
7.5795574,-11.156868,sad
5.9437366,-11.026631,sad
3.171709,-41.42195,happy
4.416015,-36.734295,happy
3.6136813,-36.843227,happy
-5.1990976,-42.83581,happy
-7.897412,-48.07521,happy
-0.5365602,-43.872784,happy
-7.19193,-41.984554,happy
4.1215467,-8.859617,sad
-2.5332263,-38.146526,happy
-7.0618987,46.84222,angry
-4.2056074,-15.042314,sad
-22.578344,-12.744511,fearful
-3.4059966,41.008125,angry
-1.3027369,-13.344775,sad
-6.417967,42.09153,angry
-1.0749328,38.494682,angry
-22.810482,-6.6356583,fearful
-5.6835465,43.47124,angry
5.8582597,22.467522,angry
-29.693314,-13.692571,fearful
-16.43098,-14.615834,fearful
-10.020398,44.68068,angry
4.3970704,-10.822498,sad
-2.4720023,-16.651453,sad
-7.09746,47.10624,angry
-22.87131,-13.008729,fearful
-27.634342,-20.678976,fearful
13.319847,29.360981,disgust
-29.902231,-18.859003,fearful
6.253082,23.666153,disgust
-27.299278,-16.04118,fearful
11.628117,8.017259,disgust
9.006447,27.573448,disgust
-32.11245,17.01412,surprised
13.047974,25.27505,disgust
-30.78881,15.593278,surprised
-26.65463,1.7167394,surprised
12.113522,29.77996,disgust
11.470834,33.424473,disgust
11.940337,33.916092,disgust
-31.596066,17.675694,surprised
-36.02835,14.852518,surprised
-31.079498,19.544205,surprised
-26.604082,15.794961,surprised
-33.373493,16.195177,surprised
41.748394,-9.03867,calm
29.700542,-4.958894,calm
32.8432,-0.17127669,calm
37.159725,-12.231849,neutral
39.18213,-12.701865,neutral
43.723553,-10.906667,calm
34.32779,-16.355005,neutral
40.006603,-7.7130823,calm
35.78859,-14.577918,neutral
33.718987,0.09031725,sad
-1.3931122,-40.270447,happy
-8.889506,-45.292534,happy
-10.394246,-45.628796,happy
-10.006035,-44.1642,happy
37.62392,-7.5420165,calm
-3.345776,-6.663722,happy
-2.9797177,26.055668,sad
43.75589,-9.381748,calm
42.90373,-5.505192,calm
33.293255,-12.411253,happy
1.3804681,-38.41224,happy
8.475795,-36.09977,sad
-9.205536,-44.18896,happy
-4.990021,-16.499338,sad
-3.671126,40.78376,angry
-2.5031621,-18.655949,sad
35.409702,2.3177352,sad
-14.726501,49.818913,angry
-19.188246,52.703976,angry
-12.19828,36.99355,angry
-1.5359557,-18.734814,sad
-20.950544,47.20668,angry
-6.1302905,-17.035156,sad
-9.260276,44.762947,angry
-19.068745,49.59616,angry
-4.46845,40.881264,angry
-23.875313,-7.0613966,fearful
-18.930943,-16.87519,fearful
8.193144,21.102406,disgust
-19.422068,-13.50819,fearful
-23.271082,-6.937327,fearful
1.2091761,23.021744,disgust
-16.634314,-16.610956,fearful
-29.44458,-18.624804,fearful
-31.35889,-9.650795,fearful
6.0355754,35.838505,disgust
12.81269,19.664928,disgust
-22.963913,-19.920107,fearful
1.8079414,32.00862,disgust
-36.132465,15.792928,surprised
6.2789583,29.90577,disgust
-36.488445,13.8821125,surprised
-28.959887,18.840357,surprised
5.786816,25.575254,disgust
-32.4008,19.790426,surprised
-16.632473,17.118982,surprised
2.8800576,35.945843,disgust
-32.009094,19.96535,surprised
-25.291025,12.173533,surprised
-25.036898,14.6856985,surprised
32.549995,-8.970278,neutral
33.56675,-14.916017,neutral
44.52844,-9.1597,calm
31.909416,-16.210289,neutral
30.4342,-16.957083,neutral
44.49003,-10.421835,calm
43.756813,-4.883976,calm
36.44398,-8.508299,calm
43.39467,-3.5084922,calm
44.749725,-5.8513317,calm
40.017162,2.343511,calm
39.373737,-8.209962,calm
5.9120407,-36.569393,happy
0.8231105,-45.581448,happy
-6.261473,-49.616165,happy
-7.11436,-48.946014,happy
2.7961464,-36.274956,happy
-0.17121777,-49.297535,happy
1.3273838,-46.68196,happy
0.48258382,-47.034283,happy
22.0048,-5.4806795,sad
22.538713,-5.3985276,sad
-5.0858927,-10.260262,sad
32.504025,-6.0480933,sad
-8.905598,46.005157,angry
-2.566414,37.278934,angry
-6.164628,40.804775,angry
-5.4112835,-10.990702,sad
-4.537481,-5.7491794,fearful
-8.436516,45.469162,angry
28.688467,-10.194448,sad
-3.9130476,-13.38423,sad
-3.052346,-10.928044,fearful
-0.69649893,36.839714,angry
-21.550972,42.899315,angry
-8.669227,46.205948,angry
-5.6419344,-9.764408,fearful
18.173233,-11.005259,fearful
-3.620492,-15.775494,sad
-10.571817,47.00574,angry
15.075928,23.872498,disgust
-15.841566,-15.427193,fearful
-29.460611,15.656472,surprised
6.1345916,27.997387,disgust
11.098999,34.466446,disgust
-30.517282,14.7497635,surprised
-25.605501,7.5161457,surprised
12.9844055,33.503914,disgust
-27.616203,3.2750762,surprised
8.314125,26.690044,disgust
-24.43315,-9.135691,fearful
-32.166374,18.755306,surprised
-5.0403867,-40.792522,fearful
-31.450268,11.590789,surprised
12.382341,32.076042,disgust
-29.75272,16.668072,surprised
3.9959683,24.23005,disgust
-19.864271,-13.724876,fearful
4.4681873,29.49353,disgust
-33.493217,18.713089,surprised
27.756384,-14.290493,calm
24.443384,-7.680686,calm
23.351967,-12.018695,neutral
31.597654,-11.873815,calm
23.281721,-11.854985,neutral
14.406934,-0.23108543,calm
31.476141,-11.338607,calm
22.64017,-14.036578,calm
24.06078,-11.2928295,calm
21.523718,-14.07544,neutral
5.8272815,-39.291916,happy
22.351439,-14.538112,calm
14.048808,0.9949063,neutral
-4.896639,-42.116875,happy
0.868646,-41.173912,happy
27.721989,-0.7261418,sad
14.763971,-4.4372,sad
26.255253,0.14671099,sad
-1.4407475,-47.25987,happy
11.294805,-7.092359,sad
-0.40404522,-10.014618,sad
-2.9447186,-42.04567,happy
5.3888845,-39.814808,happy
11.384387,-6.799826,sad
9.3033,-5.5773325,sad
-2.9409242,-41.88962,happy
5.579538,-39.285694,happy
-14.014978,38.727814,angry
-12.681895,47.27742,angry
-13.270731,42.208168,angry
-8.884962,44.33513,angry
-16.36025,47.758064,angry
-19.072079,45.346207,angry
-18.61129,47.891457,angry
-19.447897,46.521854,angry
10.853109,-6.410756,sad
-12.674027,-7.0282974,fearful
-13.844738,-7.1158395,fearful
-12.835529,-7.055701,fearful
-22.583197,-6.1010466,fearful
8.432797,28.386587,disgust
-6.6598544,36.23121,fearful
7.095599,20.830124,disgust
5.0963573,16.08847,disgust
-30.072525,-18.231195,fearful
14.092073,1.0152949,disgust
4.069239,2.0616393,fearful
-14.560976,-6.5358057,fearful
5.7972355,15.872081,disgust
4.764988,16.211319,disgust
3.9429743,15.671088,disgust
-27.27993,3.0838225,surprised
-18.154827,-2.0368178,surprised
-26.894108,2.1910808,surprised
-22.65988,8.547768,surprised
-22.378616,3.2459664,surprised
4.222689,20.56498,disgust
-4.9892545,-5.9986615,surprised
-19.903757,-4.520886,surprised
-24.40183,-0.3142711,surprised
4.887185,-42.018764,happy
32.82051,-18.525211,neutral
33.471855,-18.216473,neutral
29.210104,-2.442595,calm
38.696648,6.4549265,calm
31.913822,-3.6148458,calm
26.858887,-19.02904,happy
25.080145,-14.528826,neutral
25.56614,-8.246428,calm
34.4226,-11.919325,calm
34.415752,-9.141713,calm
24.982136,-14.094144,neutral
28.74238,-1.3152329,calm
43.311714,-8.737149,calm
5.4743323,-42.364056,happy
-4.5249763,-19.19261,happy
-1.6613264,-14.167768,sad
16.822447,-4.4682503,sad
-24.428783,4.2323923,angry
-0.39097887,-19.317944,sad
9.185363,-2.7443044,sad
-25.64472,-22.503723,happy
2.478945,-43.961582,happy
5.752814,-9.492059,sad
-1.3165685,-49.30377,happy
-1.0598582,-19.188463,sad
0.75599,35.141388,angry
16.977837,-4.695815,sad
-3.0727062,-19.62293,sad
-6.42524,-49.648685,happy
-20.77482,-1.6472756,fearful
-32.383953,-16.793392,fearful
-0.7346242,29.772177,angry
-7.589006,37.0526,angry
-31.990498,-15.186346,fearful
-5.287178,43.02289,angry
-21.966152,-11.224937,fearful
-7.4473596,37.53483,angry
-18.296415,0.33187672,fearful
8.058809,-3.0101373,fearful
-25.192802,-21.917799,fearful
-3.999903,31.629896,angry
-15.50626,51.459557,angry
-22.86758,-20.256136,fearful
8.433542,28.409687,disgust
-26.293215,12.241494,surprised
15.060723,28.397255,disgust
5.1054783,34.813637,disgust
3.9180763,31.210491,disgust
13.876517,20.113651,disgust
15.886156,26.379726,disgust
-31.609838,15.667724,surprised
10.3588505,36.624992,disgust
9.9980135,29.004625,disgust
-25.704456,16.511412,surprised
-25.751148,9.487582,surprised
-31.392153,7.4859166,surprised
-28.468267,1.5800723,surprised
-34.422516,10.06407,surprised
-25.869055,9.235522,surprised
24.45519,-8.148556,calm
29.228155,-15.823212,neutral
24.014708,-12.7196045,calm
33.68278,-14.512092,neutral
28.89787,-4.8675103,calm
27.750967,-18.771196,neutral
32.879375,-12.256922,calm
2.9890847,-41.367176,happy
28.63346,-3.9315705,calm
17.863771,-4.003875,calm
36.499622,-7.678989,calm
24.723831,-11.840944,calm
29.943348,-15.380405,neutral
-2.7723446,-49.544144,happy
14.156728,-5.044293,sad
-2.7500784,-8.300008,sad
-2.6655588,-50.089283,happy
-8.429727,35.85232,angry
-2.7988124,-11.712494,sad
2.7681186,-35.632233,happy
-13.768363,-10.613025,sad
0.2463918,-8.30185,sad
-17.565882,48.897278,angry
-25.132545,11.611409,angry
1.1588043,-41.091114,happy
9.693004,-8.919925,sad
-4.107489,-14.230833,sad
-17.37276,46.077164,angry
-2.439588,-49.70433,happy
-2.6569257,-11.526199,sad
3.8424406,-35.31889,happy
-17.869242,51.67242,angry
-2.1819441,-48.292248,happy
-17.540583,45.68987,angry
3.6887648,13.152356,disgust
-17.790997,48.440056,angry
-4.0541778,32.608494,disgust
3.9731414,13.462703,disgust
-25.314089,-6.486281,fearful
-20.747622,-6.9225187,fearful
-15.599409,-10.987102,fearful
-8.202198,33.96913,disgust
-28.96467,14.462167,surprised
-17.40982,-11.073191,fearful
4.3148403,13.36081,disgust
-19.654984,-9.208936,fearful
5.5638494,14.062835,disgust
-14.610727,-4.842428,fearful
-32.087074,10.603483,surprised
-17.640825,47.37611,angry
-0.84762466,29.098124,disgust
2.8552544,20.777391,disgust
-19.404184,-4.857787,fearful
-12.059265,-7.095801,fearful
-28.54474,7.9518523,surprised
-27.002874,11.889981,surprised
-30.045849,10.317022,surprised
-30.166035,10.341776,surprised
-25.667511,13.396611,surprised
-32.046673,11.858459,surprised
18.150206,-10.804933,neutral
26.217678,-16.941236,neutral
37.52513,-7.9166093,calm
3.963172,-36.050304,happy
1.3754005,-44.071877,happy
26.253042,-17.151081,neutral
21.459578,-3.9097657,calm
43.72108,-11.616932,calm
17.410723,-10.791882,happy
28.455366,-10.694172,calm
25.889463,-15.25912,neutral
32.258488,1.1223332,calm
35.295685,-8.369551,calm
36.557953,-8.866973,calm
33.5498,-0.6167566,calm
15.046412,1.2018449,sad
-5.316948,-9.207278,sad
-5.567293,-6.433027,sad
-14.26356,-14.779492,sad
2.6536937,-48.28102,happy
-2.0699177,-9.2515545,sad
3.4039557,-41.268017,happy
-14.457872,-9.047703,sad
-0.98655343,-41.456455,happy
0.099697955,-8.645239,sad
1.6254742,-36.100513,happy
-5.8800836,-41.794827,happy
-3.8198,-7.752832,sad
-18.825418,-9.411157,fearful
-13.081054,-8.909898,fearful
-23.181252,-10.370216,fearful
1.496853,19.877289,angry
-9.105257,43.49538,angry
-19.205332,-8.505514,fearful
-10.135223,43.15401,angry
-17.357641,-9.910092,fearful
-9.181625,42.324024,angry
0.64809847,33.180866,angry
-10.79634,48.478603,angry
-17.519339,49.15349,angry
-29.01214,-0.061689407,fearful
-1.1914142,37.700375,angry
-5.730187,-44.043663,fearful
-21.580784,-19.683998,fearful
-6.3312006,-4.2729278,surprised
12.862914,35.190258,disgust
13.933126,18.773323,disgust
-17.762362,14.575032,surprised
-16.424242,-16.522469,surprised
7.019449,29.52241,disgust
-17.326828,15.524807,surprised
8.472906,25.938364,disgust
-24.807009,7.142066,surprised
3.9058764,23.463606,disgust
-3.7861583,19.37782,disgust
-4.100849,-5.2688274,surprised
-21.580517,14.165862,surprised
12.033132,20.659912,disgust
1.2787849,32.610245,disgust
-25.143377,14.052924,surprised
33.695744,-13.187321,neutral
15.200652,-4.6673646,neutral
45.165653,-4.15705,calm
31.831575,-10.401878,neutral
24.513695,-7.320022,neutral
2.8166337,-33.19547,happy
-24.276716,9.916504,happy
-6.710129,-5.5280585,happy
28.173052,-0.5286246,calm
16.452044,-5.0685477,calm
2.8174434,-40.353195,happy
45.17289,-3.9621344,calm
-8.76149,-47.572124,happy
3.4805715,-48.822437,happy
43.93075,-4.278461,calm
13.444819,-6.3408585,sad
7.558035,-35.513733,happy
20.444168,-2.7767148,sad
-1.9799451,-46.02721,happy
40.174183,3.221421,calm
41.994045,4.923995,calm
43.07533,-6.638297,calm
-2.713284,-13.855084,sad
-2.0363038,38.11336,angry
2.138811,18.016989,angry
-3.7761528,-18.898298,sad
11.551438,-3.3582244,sad
-5.3748364,-13.172171,sad
1.7644204,18.40594,angry
28.6486,0.105334505,sad
-3.0052357,-17.529741,sad
-5.376155,37.843,angry
-13.819183,50.414043,angry
-13.346866,50.119865,angry
-19.569433,53.06064,angry
-16.60488,-11.027135,fearful
-21.418621,43.213932,fearful
8.881262,28.135279,disgust
-30.586666,-20.638412,fearful
1.0904839,21.522245,disgust
-25.395245,-10.372392,fearful
-25.845535,-22.083698,fearful
16.624899,31.084293,disgust
10.07495,18.497026,disgust
-16.099146,-14.133181,fearful
-31.28989,-15.798246,fearful
-31.632837,-10.662108,fearful
-8.936607,48.254562,angry
9.733703,37.747585,disgust
1.0466126,22.34262,disgust
-0.5637088,20.841589,surprised
-6.3369927,-4.1911235,surprised
10.161117,0.9094076,surprised
-19.510519,13.448586,surprised
3.373706,20.931473,surprised
-17.098587,-4.7509103,surprised
5.0818,31.284166,surprised
-20.818666,-0.5992707,surprised
11.466207,29.761072,disgust
12.167213,27.711838,disgust
23.63241,-14.101461,neutral
35.24712,-14.28829,neutral
39.45135,-9.607697,calm
36.774147,-15.57088,calm
21.891903,-16.820677,neutral
-22.657728,8.236593,neutral
-29.901255,6.959756,happy
-26.436726,-23.016813,happy
37.434357,-4.309701,calm
1.4685322,-7.394787,sad
40.700214,-3.118664,calm
26.395332,-5.8975453,calm
38.763332,-4.037801,calm
0.72302496,-43.073067,happy
-32.047485,14.740871,happy
30.482052,-3.410571,calm
-2.0826104,-48.754345,happy
5.5007358,-9.061854,sad
-11.893965,-45.896408,happy
27.52393,-5.088803,calm
-7.3041625,-45.118427,happy
-10.996771,-45.330494,happy
-9.075325,40.90658,angry
2.7045944,-8.637215,sad
-7.736853,42.706757,angry
-5.736762,-16.685247,sad
-1.0926565,-12.208178,sad
8.412486,-1.718221,sad
-8.885377,39.757236,angry
0.26334816,-7.2495093,sad
-7.212188,42.925392,angry
-20.394617,47.86094,angry
-21.407244,48.72043,angry
6.831348,-7.6946383,sad
-21.353699,43.560253,angry
-26.409458,-22.184378,fearful
-22.70083,-11.773679,fearful
-19.893456,48.355644,fearful
11.355772,20.049412,disgust
13.838752,25.428637,disgust
3.4496908,24.819382,disgust
-12.129175,41.65449,angry
-18.47977,-8.511592,fearful
10.237069,26.773523,disgust
-26.67881,-17.90624,fearful
-14.191308,-47.6942,fearful
-19.912146,-5.997518,fearful
11.065839,21.443258,disgust
-26.204445,0.3928625,fearful
-32.455883,21.875256,surprised
-32.702305,4.616617,surprised
-36.48054,10.460311,surprised
-33.998287,16.634417,surprised
7.66294,21.65506,disgust
-33.765667,7.6562386,surprised
11.170517,19.675962,disgust
-32.07278,12.460555,surprised
10.217303,27.757673,disgust
-33.871906,18.039595,surprised
-32.438137,15.648499,surprised
29.716242,-18.047363,neutral
31.092108,-17.541794,neutral
4.901158,-46.704224,happy
36.911366,-5.4229927,calm
37.111294,-2.7768986,calm
35.167755,-2.5535727,calm
2.6495388,-43.426567,happy
37.611397,-5.3764668,calm
32.142914,-15.589919,neutral
37.18477,-3.9718745,calm
7.199172,-37.97892,happy
32.68728,-14.867993,neutral
38.469147,-2.9545333,calm
33.04915,-6.0866704,calm
4.115634,-44.759453,happy
37.39875,-2.7466128,calm
10.774115,-8.728813,sad
25.001999,-13.798704,sad
4.635293,-41.960007,happy
-5.466871,-49.67148,happy
-5.482155,-12.7905035,sad
13.870443,4.2388563,sad
0.8577704,38.0231,angry
1.7160176,-47.34881,happy
-1.5003762,-6.3468766,sad
-16.56195,15.356862,happy
6.812545,-13.071123,sad
26.330637,-5.4504642,sad
-5.828414,-10.787725,sad
-13.18729,42.61932,angry
11.257391,28.54563,disgust
-23.50275,-17.349432,fearful
-11.026493,-10.412606,fearful
-6.966833,41.912064,angry
-26.512186,-20.615612,fearful
-15.025463,-10.819986,fearful
0.6691361,40.021244,angry
-6.313175,42.330254,angry
-6.420013,44.358932,angry
-24.302305,-18.752787,fearful
-6.597238,-6.2044697,fearful
6.20478,22.670998,disgust
-26.686314,-20.949312,fearful
-7.4822073,45.93611,angry
-10.299431,47.26111,angry
-21.13578,-15.101132,fearful
-29.610523,16.351252,surprised
-29.707996,11.1096735,surprised
-33.358093,17.529715,surprised
11.177767,33.2222,disgust
-21.23646,11.3467245,surprised
-29.024807,17.504133,surprised
-31.094936,14.445302,surprised
6.0982447,27.943903,disgust
7.924783,35.801163,disgust
16.12396,20.27052,disgust
-26.7913,14.25461,surprised
14.194836,32.404583,disgust
4.742683,28.690628,disgust
